payment_id,order_id,merchant_id,amount,currency,payment_status,payment_method,created_at
PAY_SMP_001,ORD_SMP_001,M_001,1500.00,INR,SUCCESS,UPI,2026-08-20T10:00:00Z
PAY_SMP_002,ORD_SMP_002,M_001,2450.50,INR,SUCCESS,CARD,2026-08-20T10:15:00Z
PAY_SMP_003,ORD_SMP_003,M_001,999.00,INR,SUCCESS,NETBANKING,2026-08-20T10:30:00Z
PAY_SMP_004,ORD_SMP_004,M_001,5000.00,INR,SUCCESS,UPI,2026-08-20T11:00:00Z
PAY_SMP_005,ORD_SMP_005,M_001,3200.00,INR,SUCCESS,CARD,2026-08-20T11:45:00Z
PAY_SMP_006,ORD_SMP_006,M_001,1200.00,INR,SUCCESS,UPI,2026-08-20T12:00:00Z
PAY_SMP_007,ORD_SMP_007,M_001,8500.00,INR,SUCCESS,CARD,2026-08-20T12:30:00Z
PAY_SMP_008,ORD_SMP_008,M_001,450.00,INR,SUCCESS,UPI,2026-08-20T13:00:00Z
PAY_SMP_009,ORD_SMP_009,M_001,6000.00,INR,FAILED,CARD,2026-08-20T13:30:00Z
PAY_SMP_010,ORD_SMP_010,M_001,1100.00,INR,CANCELLED,UPI,2026-08-20T14:00:00Z
