payment_id,order_id,merchant_id,amount,currency,payment_status,payment_method,created_at
PAY_1001,ORD_5001,MERCH_01,1500.00,INR,SUCCESS,UPI,2026-03-01T10:15:30Z
PAY_1002,ORD_5002,MERCH_01,2450.50,INR,SUCCESS,CREDIT_CARD,2026-03-01T11:20:00Z
PAY_1003,ORD_5003,MERCH_01,899.00,INR,SUCCESS,NET_BANKING,2026-03-01T12:05:45Z
PAY_1004,ORD_5004,MERCH_01,12000.00,INR,SUCCESS,DEBIT_CARD,2026-03-01T14:30:10Z
PAY_1005,ORD_5005,MERCH_01,3499.00,INR,SUCCESS,UPI,2026-03-01T15:45:00Z
PAY_1006,ORD_5006,MERCH_01,750.00,INR,FAILED,UPI,2026-03-01T16:10:20Z
PAY_1007,ORD_5007,MERCH_01,5000.00,INR,SUCCESS,CREDIT_CARD,2026-03-01T17:00:00Z
PAY_1008,ORD_5008,MERCH_01,1850.75,INR,SUCCESS,UPI,2026-03-01T18:25:30Z
PAY_1009,ORD_5009,MERCH_01,9999.00,INR,SUCCESS,NET_BANKING,2026-03-01T19:40:15Z
PAY_1010,ORD_5010,MERCH_01,450.00,INR,SUCCESS,UPI,2026-03-01T20:15:00Z
